疾病名称,病因
牙龈炎,"牙龈炎中慢性牙龈炎的病因是什么？
牙龈边缘附近牙面上的细菌群（牙菌斑）是慢性牙龈炎的根本原因。牙石、食物嵌塞、牙拥挤等可能加重牙龈的炎症。
牙龈炎中的慢性牙龈炎容易发生于哪些人？
慢性牙龈炎是一种极为普遍的牙龈疾病，尤其是在儿童和青少年中患病率高。
国内外调查资料显示，人群中慢性牙龈炎的患病率在 60%～90% 之间，即每 100 个人中，就有 60～90 个人患有慢性牙龈炎；儿童在 3～5 岁时就可能患牙龈炎，随着年龄增长，患病率和严重程度也逐步增加，到青春期时达到高峰，17 岁以后，患病率逐渐下降
[1]
。
牙龈炎中青春期牙龈炎的病因是什么？
青春期龈炎，顾名思义，好发于青春期的人群。其与慢性牙龈炎在病因方面的区别较大，青春期龈炎患者的病因不仅与牙菌斑有关，还与青春期少年体内性激素水平的变化有关。这一时期的青少年在性激素作用下，牙龈组织对外界的刺激反应性增强，容易出现牙龈炎症。
此外，青春期人群会有乳牙与恒牙的交替、牙齿排列不齐、戴用牙齿矫治器（就是平时大家所说的牙箍）等原因，造成牙齿不易清洁，易于造成牙菌斑的滞留，进而引起牙龈炎
[2]
。
青春期龈炎的发生虽然与青少年体内性激素水平有关，但并不意味着，青春期过后，青春期龈炎就可自我消退。青春期过后，消退的仅仅是性激素水平变化带来的促进效果，原有的牙菌斑引起的炎症并未消退。
牙龈炎中妊娠期牙龈炎的病因是什么？
怀孕并不是妊娠期牙龈炎的直接原因，其根本原因还在于牙菌斑。如果没有牙菌斑的存在，妊娠并不会引起牙龈的炎症。但怀孕期间女性雌激素水平升高，可使原有的牙龈炎加重
[1]
。
牙龈炎中急性龈乳头炎的病因是什么？
牙龈乳头受到机械或化学的刺激，是引起急性龈乳头炎的直接原因。
包括食物嵌塞造成的牙龈乳头受压迫、不适当的使用牙签或其他器具剔牙、补牙后没有处理好的牙齿邻面等。"
口腔溃疡,"口腔溃疡可能是哪些原因导致的？
口腔溃疡可能与以下原因相关：
微生物感染
：如 Ｌ 型链球菌、腺病毒等病毒、细菌等病原微生物导致口腔黏膜感染时，也会出现口腔溃疡
[1]
。常见如疱疹病毒导致的疱疹性龈口炎，在一般是牙龈上或者口腔其它部位出现成簇的小溃疡，溃疡比较浅，但是疼痛症状比较明显。结核杆菌感染导致的口腔黏膜结核，可形成长期不愈合的溃疡，这一类溃疡有个特点，就是溃疡的疼痛感很轻微，甚至是没有疼痛感。
免疫因素
：有研究表明复发性阿弗他溃疡的发病可能与体液免疫和自身免疫反应有关
[1]
。
系统性疾病因素
：临床实践经验和流行病学的调查均发现口腔溃疡与胃溃疡、十二指肠溃疡、肝胆疾病以及由各种寄生虫引起的消化道疾病或功能紊乱有关
[1]
。
环境因素
：一些研究结果表明由复发性阿弗他溃疡的口腔溃疡的发生与患者的行为类型、工作环境引起的心理反应，食品添加剂、营养失衡以及生活节奏等环境和社会因素有关
[1]
。
遗传因素
：对相关的单基因遗传、多基因遗传、遗传标记物和遗传物质的研究表明，复发性阿弗他溃疡的发病有遗传倾向
[1]
。
创伤
：因为进食过烫、过硬的食物，或者被牙齿咬破口腔黏膜时，口腔也会出现溃疡。这种溃疡有自愈能力，一般在 7～10 天内愈合，不留下后遗症；但若创伤因素始终存在，比如牙齿存在过尖过锐的牙尖、或修复体/义齿存在异常凸起长期摩擦黏膜，这种溃疡也会长期存在，甚至有癌变风险。
恶性肿瘤
：由恶性肿瘤引起的口腔溃疡叫癌性溃疡，多见于老年
[1]
。牙龈癌、唇癌、舌癌、颊癌、口底癌、腭癌等在早期也可能表现为溃疡，但癌性的溃疡会越长越大，越长越硬。
肺结核
：由肺结核引起的结核性溃疡多见于中青年，一般好发于唇部、舌头等部位
[1]
。
口腔溃疡反复发作是由哪些原因导致的？
复发性口腔溃疡又叫做复发性阿弗他溃疡
[1]
，本病发生可能与以下因素有关：
遗传和免疫因素
：复发性口腔溃疡有一定的遗传倾向
[1]
，并且与人体的免疫功能的紊乱有一定关系，使得口腔溃疡呈现反复的溃疡——愈合——溃疡的过程。
全身疾病和微生物感染
：慢性胃肠疾病患者更容易得口腔溃疡；细菌、病毒感染也会导致口腔溃疡的发生
[1]
。
心理压力和营养因素
：过大的心理压力和精神紧张会导致口腔溃疡，也会导致口腔的复发
[1]
。
口腔卫生和生活习惯
：口腔里比较尖锐的牙尖、假牙，以及有些人咬嘴唇、咬舌尖的不良习惯，也会导致口腔黏膜破溃，形成口腔溃疡。"
唇炎,"唇炎的常见病因有哪些？
引起口唇部皮肤出现唇炎的病因主要有以下几类：
直接接触于口唇的物质（例如：唇膏、牙膏、金属、橡胶制品、假牙等）；
日光照射和风吹；
个人习惯性舔唇；
情绪（例如：焦虑，抑郁等）；
吸烟；
真菌感染；
自身免疫性疾病等；
辛辣以及过热食物，比如辣椒等；
接触过敏原或者一些致敏物质；
外伤、根尖病灶、身处高寒地区等。
唇炎会传染吗？
唇炎本身不具有传染性，但如是有真菌感染引起，则可通过接触传播
[2]
。"
癌前病变,"癌前病变是由什么原因引起的？
病毒感染：人乳头瘤病毒、单纯疱疹病毒、白念珠菌等感染可导致黏膜白斑，乙肝病毒感染可导致肝炎、肝硬化等。
内分泌紊乱：女性性激素紊乱可能会导致外阴黏膜白斑、乳腺纤维囊性增生症等。
遗传：肠息肉具有一定的遗传作用。
物理化学刺激：吸烟、嗜酒、喜食酸辣、烫的食物，可能导致口腔黏膜白斑、食管上皮不典型增生、慢性萎缩性胃炎等。
局部刺激因素：不合适的假牙、牙齿错位、牙结石等长期磨损口腔黏膜，导致黏膜白斑、口腔溃疡等的发生。
生活饮食习惯：饮食习惯以各种肉类为主，吃蔬菜少或基本不吃蔬菜也可能会导致肠息肉的发生。
疾病因素：长期便秘也会刺激到肠道，导致肠息肉的发生。"
智齿冠周炎,"智齿冠周炎发生的原因是什么？
智齿阻生及智齿萌出过程中，牙冠被其上的牙龈组织覆盖，形成较深的盲袋（一头开口，另一头是闭合的袋状结构），食物及细菌极易嵌塞于盲袋内。
盲袋中的温度和湿度有利于细菌繁殖。加上牙冠上覆盖的牙龈常常因为咀嚼食物时被咬破，形成溃疡，导致病菌趁虚而入。
在机体抵抗力较强时，局部症状可以不明显；而当机体抵抗力下降时，例如工作疲劳、睡眠不足、月经期、分娩后或由其他伤病时，就会导致冠周炎的急性发作
[1]
。
智齿冠周炎多大的人容易得？
智齿冠周炎主要发生在 18～30 岁的青年人群中，这个阶段正是智齿萌出的时期。
30 岁以后由于不再萌出新生牙齿，并且长出来的牙齿和周围组织之间形成了一定的稳定关系，因此智齿冠周炎发生率有所下降
[2]
。"
近视,"近视的原因有哪些？
近视的原因有哪些？
近视的产生原因至今依然不是十分明确，近视是由多种因素导致的， 近年来许多证据表明环境和遗传因素共同参与了近视的发生:
近视的原因有哪些？
近视的产生原因至今依然不是十分明确，近视是由多种因素导致的， 近年来许多证据表明环境和遗传因素共同参与了近视的发生:
遗传因素：
研究认为高度近视眼的双亲家庭，下一代近视的发病率较高
[1,4]
。
环境因素：
近视眼的发生和发展与近距离用眼的关系非常密切。
青少年的眼球正处在生长发育阶段，调节能力很强，眼球壁的伸展性也比较大，阅读、书写等近距离时，不仅需要眼的调节作用的发挥，双眼球还要内聚，这样眼外肌对眼球施加一定的压力，久而久之，眼球的前后轴就可能变长， 导致近视的发生
[1,4]
。
且视觉环境的影响也很重要，视野不够开阔，也会增加发生近视的风险
[2]
。
近视眼会遗传吗?
近视是可以遗传的
[2]
。
约有 5% 的近视眼患者与遗传有关，也就是说每 100 位近视者，其中有 5 位是因为父母遗传原因造成的，通常是高度近视眼，度数在 600 度以上。如果父母一方或双方均为高度近视者，后代高度近视发病率显著增高
[4]
。但子女也可能不近视。
近视眼戴了眼镜，度数仍增加可能的原因有哪些？
度数继续增加意味着眼轴继续增长，可能的原因有以下几种。
戴眼镜后仍然不重视用眼有度，时间久了，导致近视度数增加。
有的人由于潜在的眼睛疾病造成视力暂时下降，却误以为近视而配戴近视镜，使视力急剧下降。
眼镜质量不合格，验光度数不准，都会导致矫正错误。
近视的原因之一，真的是躺着看书和看手机引起的吗？
躺着看书或手机容易引起视疲劳，而视疲劳又是引起近视的原因之一
[3]
。
视疲劳是由于用眼过度造成的，躺着看书以及长时间看手机，都会导致用眼过度。
长时间在相对较近的距离阅读，观看距离忽远忽近，观看环境光线不适等都会引起视疲劳，长期以往，就会导致近视。
因此，最好是光线充足的条件下，在书桌前，注意姿势，每 1 小时起身活动一下望向远处，才能将对眼睛的伤害尽量减小。"
散光,"散光是怎么造成的？散光的发病原因有哪些?
散光的发生是由于眼睛角膜或晶状体的不规则曲面引起的
[1]
。遗传因素、眼部疾病、眼部受伤或手术都会出现散光
[4]
。
遗传因素：许多婴儿出生时会伴有散光，通常一周岁之前消失，具体原因不明
[1]
。
眼部疾病：由于角膜先天形态异常或者后天眼睑、角膜病变等读对角膜进行压迫，可引起不同程度散光。
眼部受伤：如眼部外伤影响到角膜时会引起散光。
眼部手术：如内眼手术、角膜手术。如果在手术过程中损伤到角膜或晶状体时，会引起散光。
不良用眼习惯：比如学龄前儿童（3 周岁至 6～7 岁入小学前）电子屏幕接触时间过长（每天超过 2 小时）时，会影响晶状体发育，影响角膜的形状，增加散光的发生的可能
[5]
。
值得注意的是，在较暗的光线下读书或者坐得离电视太近是不会引起散光的
[1]
。
散光的常见发病人群有哪些？
散光很常见，大多数人或多或少都存在一定度数的散光
[1]
。
相对而言，散光在老年群体中更常见。随着年龄增长，散光的病率也会升高，20～59 岁人群约为 25%（每 100 人中有 25 个人存在散光），60 岁以上人群为 50%
[6]
。
散光会遗传吗？
目前关于屈光不正的遗传因素，更多的是高度近视，关于散光是否会遗传的证据较少，目前还没有定论
[5]
。
散光为什么常伴近视？
其实不论是否近视，绝大多数人都会存在不同度数的散光
[1]
。近视的人在检查的过程当中，常常发现散光，容易给人造成一种「近视的人常常伴有散光」的感觉。"
结膜炎,"结膜炎是怎么引起的？
结膜炎的常见原因有
[1]
：
细菌、病毒、衣原体、真菌、寄生虫等病原微生物的感染。
过敏，如花粉过敏。
免疫性疾病，如干眼症。
风沙、烟尘、紫外线暴露，以及酸碱或有毒气体的化学损伤。
全身性疾病，如梅毒、肺结核、甲状腺疾病等。
眼睛周围组织的疾病波及结膜，如角膜、眼睑、巩膜、鼻腔等部位的疾病。
病毒性结膜炎的常见病毒有哪些？
较为常见的可引结膜炎的病毒有：腺病毒（8 型、19 型及 37 型）、肠道病毒、水痘-带状疱疹病毒、单纯疱疹病毒、麻疹病毒以及汉坦病毒等。
结膜炎会传染吗？有哪些传染途径？
部分结膜炎会传染
[1]
。
感染性结膜炎具有传染性，通过接触传播，常见方式如用未清洁手揉眼、共用毛巾脸盆、共用眼部化妆品等
[3]
。"
青光眼,"青光眼的病因是什么？
引起青光眼的确切病因尚不十分清楚。
一般认为由于某些因素，比如睫状突生成房水的速率增加，房水通过小梁网路径流出的阻力增加，以及表层巩膜的静脉压增加，使眼内液（房水）产生过多，或从眼内排出的正常通道闭塞或受阻，以致房水在眼内积聚引起高眼压，使视神经纤维及其供血的血管受损，造成视网膜和视神经乳头萎缩，影响视力，严重者还会致盲
[1]
。
青光眼常见于哪些人？
青光眼患病的高危人群：
高眼压的人群：这是第一危险因素，早期没有青光眼性损害，随着持续性高眼压，发生青光眼性损害的可能逐渐增大
[3,4]
；
高度近视患者：使开角型青光眼发病率增高
[5]
；
视乳头凹陷大（也称杯盘比大）的人群：这是第二危险因素，大而深的凹陷对压力的耐受力差，这类人需定期检查视盘凹陷和视野
[3,4]
；
全身血管病的人群：特别是低血压患者，容易发生视盘供血不足，增加视神经损害的风险，从而易青光眼
[3,4]
；
糖尿病患者：此类人群患青光眼的可能性是非糖尿病人群的 1.48 倍
[6,7]
。
青光眼的常见诱发因素有哪些？
青光眼常见诱发因素有：
不良生活习惯：情绪波动大比如经常生气，用眼过度，心理压力大等；
屈光不正因素：比如高度近视有 1/3 伴有或者发展为青光眼
[5]
；
遗传因素：有家族史发病高于无家族史的 6 倍
[8]
；
解剖因素：具有前房浅，晶体厚、眼轴短易导致房水循环障碍眼压升高而形成青光眼
[1]
；
年龄、性别：开角型青光眼多发生于 30 岁，无性别差异，闭角型 45 岁以上多发于女性
[3,4]
。
青光眼在远视眼中发病率高么？
如果把眼球比作一间房子，对于远视眼的人来说，这间房子是比正常房子小的，但是里面的家具没有少摆，这就会导致房子很拥挤。
正是因为眼球内部的拥挤，往往容易导致前房浅或者房角窄，如果远视患者激动、熬夜、长时间在暗处看书可能导致房角突然关闭，房水堵塞使得眼压突然一下子爆发性升高，这样就导致闭角型青光眼的急性发作
[9]
。
青光眼会遗传吗？
原发性青光眼具有一定的遗传性
[1]
，因此，有青光眼家族史的人应定期做眼科检查。
青光眼会因寒冷刺激发作吗？
天气是诱发青光眼的重要因素。天气变化与季节交替对人眼的生理功能有很大的影响，青光眼多发生在冬春季，一般在强冷空气入侵的 24 小时内发作，故青光眼患者强冷空气来临时尽量不外出
[10]
。
关灯玩手机会导致青光眼吗？
黑暗环境下用眼，导致眼压明显升高的情况，主要见于本身有闭角型青光眼的患者。人眼内睫状体会稳定的生成房水（眼内液体），而房水通过房角处的结构引流到静脉，维持房水和眼压平衡。
在闭角型青光眼患者，由于本身房角狭窄。在黑暗环境中时问长时，由于瞳孔明显扩大，周边房角会进一步狭窄，导致房水排除受阻，眼压升高。
而非闭角型青光眼人群，在黑暗环境中时间长时，虽然瞳孔也一样扩大，但房角不会出现狭窄，眼压不会升高。所以对于非闭角型青光眼含人群，在黑暗环境下用眼，一般不会导致青光眼发作。
但是连续看手机时间长时，会导致干眼症以及加重干眼症的程度。"
白内障,"白内障发病原因是什么？
白内障是晶状体在机体内外各种因素的长期作用下，导致其组织结构被破坏，正常代谢遭到干扰，从而使晶状体蛋白发生变性，造成混浊，引起白内障。
白内障可由哪些因素诱发？
年龄：年龄相关性白内障又称为老年性白内障，是所有白内障类型中最常见的一种。50 岁以上人群随着年龄的增加，白内障患病率明显上升。
遗传：约有 30% 的先天性白内障由遗传因素导致
[3]
。即每 100 位先天性白内障患者中，就有约 30 位由遗传因素所致。
妊娠期不良因素：妊娠期病毒感染（如麻疹、带状疱疹、流感病毒感染）、营养不良、盆腔受放射线照射、服用某些药物（如激素、抗凝剂等）、患有系统性疾病（如糖尿病、肾炎、心脏病）等都可能导致胎儿晶状体发育不良，诱发先天性白内障。
眼部疾病、外伤、手术史：眼部爆炸伤、钝挫伤和穿孔伤等都会造成晶状体的浑浊，引发外伤性白内障。高度近视、青光眼等眼部疾病导致的眼部炎症或退行性病变，可使晶状体营养或代谢发生异常，从而导致晶状体浑浊，引发白内障。此外，部分眼部手术如白内障囊外摘除或晶状体抽吸手术后，残留的皮质及脱落在晶体后囊的上皮细胞增生，引起晶状体混浊，从而增加了白内障的发生概率。
辐射：电磁波可造成晶状体浑浊，引发白内障。此外，长期、过度的紫外线照射也会诱发白内障。
全身性疾病：糖尿病、血钙过低等疾病可引起代谢障碍，造成晶状体浑浊，诱发白内障。
药物或中毒：长期接触糖皮质激素缩瞳剂、氯丙嗪等药物，或苯及其化合物、氟、萘、金属等化学物质，可对晶状体产生毒性作用，引起其浑浊。
营养不良：如缺乏维生素 A、维生素 C、维生素 D、维生素 E、叶黄素等，白内障患病率可升高。
长期脱水：水分在晶状体代谢和保持透明过程中起着重要作用，长期脱水会导致晶状体混浊，从而诱发本病。
吸烟酗酒：长期吸烟、酗酒可能对晶状体及晶状体内的细胞造成损伤，诱发白内障
[2]
。
白内障好发于哪些人群？
50 岁以上中老年人；
有白内障家族史者；
有长期吸烟、饮酒史者；
常处于脱水状态的人；
营养不良者，如缺乏维生素 A、维生素 C、维生素 D、维生素 E、叶黄素等物质的人群；
长时间使用激素（糖皮质激素）或其他药物（如麦角碱、缩瞳剂）者；
长时间受到 X 射线等放射线辐射、或紫外线照射的人群，例如生活在高原地区居民所受到的紫外线照射更强、医疗服务放射工作人员因职业需要可能长期接触放射线；
患有糖尿病、高血压或者心脏病等全身性疾病的人群；
有眼部疾病或外伤的人群；
母亲妊娠期有病毒感染史、放射线接触史、营养不良史、用药史、疾病史的胎儿。
有上述情况的人，患白内障的可能性更大，但并非绝对会患上白内障。
白内障是老年人才会得的眼病吗？
不是的，所有可以使晶状体蛋白变性、浑浊的因素都可以引起白内障。例如：糖尿病白内障好发于青少年糖尿病携带者
[4]
。
其中最常见的是年龄增加、老化所致的老年性白内障，但代谢异常、外伤、合并其他疾病、使用某些药物、以及先天遗传等众多原因也均可引起白内障。
白内障会遗传吗？
老年性白内障、外伤所致白内障或代谢问题引起的白内障，一般不具有遗传性。但部分（1/3 左右）先天性白内障具有遗传性
[3]
。
白内障和戴隐形眼镜有关系吗？
由于隐形眼镜直接接触的是角膜而非晶状体，因此佩戴隐形眼镜和白内障的发病并没有什么关系。"
干眼,"干眼是由什么原因引起的？
干眼病因繁多，发生机制复杂，常见的原因有：
自然环境因素：自然环境中的风沙、烟雾与粉尘等会引起干眼的症状；同时，在有中央空调等低湿度环境中，也易引起干眼的相关症状
[1]
。
药物因素：全身使用以下药物，也可增加干眼的发生，如抗组胺药、抗胆碱能药、雌激素、异维 A 酸、选择性 5 - 羟色胺受体拮抗剂、胺碘酮、烟酸等
[6]
；频繁滴用含有防腐剂的眼药水也可能引起干眼。
眼睛本身的疾病：如眼睛的化学烧伤、眼睑或睑板腺病变、眼睑下垂、眼球突出、泪腺病变及眼表其他疾病等也可导致干眼。
手术：近视激光手术或其他眼球表面的手术术后患者更加容易发生干眼
[7]
。
全身疾病：类风湿性关节炎、系统性红斑狼疮、强制性脊柱炎、血管炎、系统性硬化、糖尿病、哮喘、甲状腺疾病、干燥综合征等疾病，也会有干眼的表现。
长期佩戴角膜接触镜：戴角膜镜后，会使泪膜的代谢功能失调，引起干眼
[8]
。
影响眨眼的神经肌肉疾病：如帕金森病、贝尔氏面瘫；头部放疗等。
干眼的常见人群有哪些？
戴角膜接触镜的人群：该人群由于长期佩戴角膜接触镜导致泪膜代谢功能下降，而易患干眼。
眼睛本身有疾病的人群：该人群由于患有眼睛损伤或眼睑异常类疾病而易患干眼。
患有全身疾病的人群：该人群由于患有类风湿性干眼、糖尿病等全身疾病，而易患本病。
长期服用某些药物的人群：该人群由于所服药物的一些不良反应，而易患干眼。
眼部手术后的人群：该人群由于术后泪液 的动力及泪液的质和量的异常，可引起泪膜不稳定等眼表损害，而易患干眼。
干眼跟过度阅读、长时间看电视或电脑、长时间开车等有关吗？
正常情况下，人会每分钟眨眼 15～20 次，而看电视、阅读、电脑或长时间开车的时候，眨眼次数会大量减少，泪液蒸发增加，引起干眼，当疲劳的时候这种情况更容易发生。
干眼是不是年纪越大越容易得？
是的。
一般情况下，年纪越大越容易得干眼，这主要是因为泪腺和睑板腺功能、激素水平和泪液的分泌能力会随年龄的增长而降低，年龄超过 70 岁的老年人干眼症的患病率达到 36.1%，即  1000 个人中可能有 361 人患病
[9]
。
干眼会不会由涂睫毛膏引起？
有可能。
睫毛根部睑板腺的开口处，涂睫毛膏可能堵塞睑板腺的出口，导致构成泪液的脂质成分分泌减少，影响泪膜形成，从而导致干眼。"
睑腺炎,"睑腺炎发生的原因有哪些？
大部分睑腺炎患者都是由金黄色葡萄球菌感染所致，但部分也可以是无菌性的，比如酒渣鼻（玫瑰痤疮）和脂溢性皮炎患者的面部皮肤常发生炎症，有可能会发生睑腺炎
[2]
。
睑腺炎常见危险因素有哪些？
用眼不卫生、常用手揉眼；
睡眠质量差或熬夜；
糖尿病、甲亢、肿瘤病史。
以上因素是睑腺炎发生的危险因素，免疫力低下，不注意眼部卫生，就可能会被细菌感染，容易诱发睑腺炎
[1]
。
睑腺炎容易发生在哪些人群？
婴幼儿、儿童、老年人等体弱者；
熬夜或休息不好的人群；
患有糖尿病、甲亢等免疫力低下的患者；
用眼不卫生的人群；
玫瑰痤疮和脂溢性皮炎患者
[1,2]
。
睑腺炎会传染吗？
不会。
睑腺炎会遗传吗？
尚没有资料表明该疾病会遗传。"
过敏性结膜炎,"过敏性结膜炎是什么原因引起的？
和其他过敏性疾病一样，常见的过敏原都会引起过敏性结膜炎。
最常见的是
吸入性过敏原
，包括各种尘螨（屋尘螨、粉尘螨最常见），各种霉菌（链格孢菌、黑曲霉、芽孢菌等），昆虫的排泄物及尸体碎片（如蟑螂），各种草花粉（豚草、蒿草、葎草、大荨麻、向日葵等）、树花粉（圆柏、洋白蜡、榆树、桑树、柳树、梧桐等），动物毛屑（猫毛、狗毛、羊毛）。
少数过敏性结膜炎因为食物、药物等过敏引起。
过敏性结膜炎常见于哪些人群？
过敏性结膜炎和个人体质有关，本身有其他过敏性疾病的人，比如有过敏性鼻炎、过敏性哮喘、皮肤过敏的话，发生过敏性结膜炎的可能性比较高。如果父母一方或者双方是有过敏性疾病的人，家族种有过敏性疾病史的家人，那本人得过敏性结膜炎的风险也比别人高。
过敏性结膜炎传染吗？
不传染，但是在一个家庭或工作区域环境内，可能会出现多人过敏的症状，常常误认为是传染所致，其实主要是由于在同一个环境当中，大家共同接触了致敏原，从而产生相同的过敏性结膜炎。
所以一旦出现了过敏性结膜炎，应该首先从去除致敏原上注意，注意室内的通风，去除有异味的物体或者是物品，像是家庭当中的床上用品。要定时清洗，定时更换，以防发生过敏性结膜炎带来的各种眼部不适。"
贫血,"贫血有哪些常见原因？
不同类型的贫血，发生的原因也不同，生活中较为常见的有以下几种：
缺铁性贫血：主要由铁摄入不足、铁吸收障碍、铁丢失过多导致
[1]
。
铁摄入不足：当铁需求量增加而未及时补充含铁丰富的食物时，就容易发生缺铁性贫血。
铁吸收障碍：特别是胃大部切除后，食物会快速进入肠道，导致铁吸收减少，进而导致贫血。
铁丢失过多：慢性失血导致铁丢失而得不到纠正也会造成贫血。
巨幼细胞贫血：主要由缺乏叶酸及维生素 B12 导致
[1]
，长期不吃富含叶酸及维生素 B12 的食物会发生贫血。
再生障碍性贫血：可能与病毒感染（肝炎病毒等），使用氯霉素类抗生素、磺胺类药物、化疗药，长期接触X射线、镭等放射性元素有关
[1]
。
溶血性贫血：可能与遗传、血型不相容、疾病（弥散性血管内凝血、败血症、疟疾等）或者一些理化因素（大面积烧伤、亚硝酸盐中毒等）有关
[1]
。
失血性贫血：短时间内大量失血或长期慢性失血均会导致贫血的发生
[1]
。
哪些人群容易患贫血？
婴幼儿、妊娠和哺乳期妇女：此类人群需铁量较大，若不及时补充含铁丰富的食物，容易发生贫血
[1]
。
青少年：此类人群往往因为偏食而易发生贫血
[1]
。
接受胃切除术者：此类人群由于手术后，食物会快速进入肠道，导致铁吸收减少而易患贫血。
胃肠道慢性出血者：包括痔疮、胃-十二指肠溃疡、胃肠道肿瘤等患者，由于慢性失血导致铁丢失而易发生贫血
[1]
。
与母亲血型不合的胎儿：主要发生在母亲 O 型而胎儿 A 型或 B 型。因为 O 型母亲在第一胎妊娠前已产生其他血型抗体，因此胎儿会发生溶血性贫血，出生后多见黄疸，严重者还会出现心力衰竭
[4]
。
除此之外，月经过多者、长期血透者、有遗传性贫血家族史者、长期使用化疗药或其他可导致贫血的药物者、败血症患者、疟疾患者、大面积烧伤者等同样易发生贫血
[1]
。"
白血病,"白血病的病因是什么？
确切的病因还没研究清楚，但根据现有研究，发现可能与以下原因有关：
生物因素：主要包括病毒感染和免疫功能异常。多年研究发现，成人 T 细胞白血病（ALT）是由人类 T 淋巴细胞病毒 Ⅰ 型（HTLV-Ⅰ）所致，且 HTLV-Ⅰ 具有传染性，可通过哺乳、性生活和输血传播
[1]
。
物理因素：电离辐射（包括 X 射线、伽马射线等）的致白血病作用已得到研究肯定，发病的风险高低取决于放射剂量、时间及年龄
[1]
。
化学因素：常年接触某些化学物质可能会导致白血病的发生，如苯及含苯有机溶剂。苯致白血病的作用机制尚未研究清楚，可能与染色体异常有关
[1]
。
遗传因素：有白血病家族史的人群，患病风险可能比一般人群要高。同卵双胞胎中，如果一人发生白血病，另一人的发病率约有 1/5
[1]
。
其他血液病：某些血液病会进展成白血病，如淋巴瘤、骨髓增生异常、多发性骨髓瘤等
[1]
。
哪些人容易得白血病?
有特殊家族史，如有白血病家族史的人，较一般人容易得白血病；
长期接触X射线、伽马射线等电离辐射的人，如核电站工作者，患白血病风险较一般人高；
长时间接触有害化学物质（如苯及含苯制剂､油漆､装修污染等）的人群比普通人群易患白血病，主要受影响人群为从事化工生产、建筑装修、染料生产等行业的人。
白血病会遗传吗？
家族性白血病约占白血病的 0.7% ，这说明遗传因素可能是白血病的致病因素之一
[1]
。但白血病只是有遗传的潜在可能性，并不是百分之百会遗传。
并且，白血病在某些家族中频发的原因究竟是遗传因素起作用、还是一个家族共同的生活饮食习惯、居住条件等因素起作用，目前尚无定论。"
多发性骨髓瘤,"多发性骨髓瘤是什么原因引起的？
目前多发性骨髓瘤的发病原因尚不清楚，已知可能与慢性感染、病毒感染、家族遗传等相关，但都不明确。另外，污染、辐射、药物等常见致癌因素是否会导致多发性骨髓瘤，也没有明确定论。
多发性骨髓瘤是否具有遗传性？
与其他恶性肿瘤相似，本病具有遗传易感性，但不是一种遗传病。"
淋巴瘤,"淋巴瘤是怎样危害人体健康的？
淋巴瘤主要通过三条途径危害人体健康：
淋巴瘤细胞在病变局部恶性增生，造成脏器的直接损害与功能障碍。
恶性增生的淋巴瘤细胞，通过遍布全身的淋巴系统而转移到各个器官，造成其他多脏器的损害。
全身淋巴系统的广泛病变使人体的免疫功能明显低下，从而使机体不能发挥正常的抗肿瘤免疫功能，而使病情进一步恶化。
淋巴瘤的常见原因有哪些？
感染：淋巴瘤的发生可能与一些病毒或细菌感染有关，包括 EB 病毒、人类嗜 T 淋巴细胞病毒、Kaposi 肉瘤病毒、幽门螺旋杆菌等
[1]
。
免疫力低下：如艾滋病、干燥综合征、器官移植后长期应用免疫抑制剂可诱发淋巴瘤
[1]
。
理化因素：长期接触电离辐射、有害化学物质（杀虫剂、染发剂等）可能会增加淋巴瘤的发生概率。
遗传因素：近年来，有报道表明淋巴瘤的发病可能与遗传因素有关。一些癌基因（如TET2、DNMT3A、IDH2）的异常活化可能会导致肿瘤的发生
[3]
。
淋巴瘤容易发生在哪些人？
受到病毒或细菌感染者：如 EB 病毒、人类嗜 T 淋巴细胞病毒、Kaposi 肉瘤病毒、幽门螺旋杆菌等感染人群。
免疫力低下者：特别是艾滋病患者、干燥综合征患者、器官移植后长期应用免疫抑制剂者、肿瘤病人接受过放疗者等发生淋巴瘤的概率更高。
从事放射线等职业者，长期接触有害化学物质者也更容易患淋巴瘤。
家族中有患淋巴瘤者也比普通人群更易患淋巴瘤。
需要指出的是，以上人群较其他人更易患淋巴瘤，但并不是百分百一定会患上淋巴瘤。一般认为，淋巴瘤的发生是多种致病因素互相作用的结果，具体发病机制很复杂。
淋巴瘤发病风险的增加与接触放射线有关吗？
据报道，日本长崎、广岛原子弹爆炸后的幸存者淋巴瘤的发病率增加
[4]
。
此外，有文献报道，因脊柱炎接受放射治疗的病人，淋巴瘤的发病率高于正常人群 2 倍。因此，一般认为过多接受放射线照射与淋巴瘤的发病有一定关系，而常规的放射检查如胸片、X 线造影、CT、磁共振检查和一般的工作接触，是不会增加淋巴瘤的发病率的
[5]
。
淋巴瘤会传染吗？
一般来说，淋巴瘤并不会传染。淋巴瘤的发病可能与遗传、感染等因素有关，而其中一些病毒感染可能具有传染性，如人类 T 淋巴细胞逆转录病毒 Ⅰ 型病毒等，若接触了此类病毒，可能会增加患病的风险。
淋巴瘤会遗传吗？
近年来，有报道表明淋巴瘤的发病可能与遗传因素有关。这说明遗传因素可能是淋巴瘤重要的致病因素之一，作为一种潜在的可能性，决不是必然性
[3]
。"
