疾病名称,简介
智齿,"智齿是什么？
智齿指上下颌第三磨牙，也称为迟牙，位于口腔牙列的最内侧，是最容易发生阻生的牙（阻生牙是指由于牙齿周围相邻的牙、骨等的阻碍，只能长出部分或者完全不能长出的牙）
[1]
。
智齿一般在 18～25 岁萌出（很多情况下不会萌出，口腔内无法看到），由于此年龄段的人在生理、心理发育接近成熟，所以将这个时期萌出的牙齿看作是智慧来临的象征
[2]
。"
牙髓炎,"牙髓是什么？
牙髓就是俗称的牙神经，是牙齿中唯一的软组织。
牙齿最外层是坚硬的牙釉质，中间黄色的是牙本质，牙本质包围形成牙髓腔，牙根部分管道似的牙髓腔叫根管，牙髓在牙髓腔内，牙髓借狭窄的根尖孔与根尖周组织相连。
牙髓是一种疏松结缔组织，不仅有神经还有血管和各种细胞。
牙髓有什么功能？
牙髓发挥功能的主要是神经和血管，分别发挥了感觉和营养功能。
营养作用：牙髓被牙本质包围着，相当于牙本质的后勤保障处，不但给牙本质提供营养，在牙本质受到损害后还能形成新的牙本质。
感觉功能：牙髓只有疼痛感受器，当牙髓感受到经过牙本质来的细菌时，会产生炎症，目的是吞噬、杀灭刺激物，同时产生大量的渗出物，牙本质几乎是封闭的，牙髓腔压力升高，牙髓产生剧烈疼痛。
牙髓炎是什么？
牙髓炎是指发生于牙髓组织的炎症。牙髓发生炎症会出现疼痛，牙髓炎可以说主要表现就是「牙痛」。通过根管治疗等方式可以治愈，治愈后对患者生活质量影响较小。"
牙龈炎,"牙龈是什么？
牙龈是我们肉眼可见的覆盖在牙齿根部牙槽骨外面粉红色的黏膜组织。
牙龈分为游离龈（龈乳头是游离龈的一部分）和附着龈，需要特别解释一下牙龈的两个组织，其中，牙龈组织中有两个部位简要解释一下，介绍牙龈相关疾病时可能会用到，一个叫游离龈：指的是紧贴牙面的牙龈组织；还有一个叫龈乳头：指的是两颗牙之间呈尖三角形的牙龈组织部分。牙龈炎通常发生在这两个部位
[1]
。
牙龈炎是什么？
牙龈炎是指牙龈组织出现炎症反应，可表现为牙龈出血伴肿胀、发红、渗出、正常形态改变和偶尔产生不适感觉。治疗方法包括专业牙齿清洁和加强家庭口腔卫生护理。严重的情况下需使用抗生素或接受外科手术。
牙龈炎有哪些类型？
牙龈炎是一大类疾病的统称。常见的牙龈炎包括慢性牙龈炎、青春期牙龈炎、妊娠期牙龈炎以及急性龈乳头炎等
[1]
。他们的高发人群、治疗方案以及治疗效果都略有差异。
慢性牙龈炎：又称为边缘性牙龈炎或单纯性牙龈炎，牙龈的炎症主要位于游离龈，是最常见的牙龈病
[1]
。慢性牙龈炎最典型的特征就是咬物或刷牙时易出血，但是由于范围局限，一般经过洗牙后，愈合良好。
青春期牙龈炎：处于青春期的少男少女们由于体内的性激素水平变化，牙龈组织对外界的刺激反应性增强，引起牙龈炎症。
妊娠期牙龈炎：是指妇女在怀孕期间，由于女性激素水平升高，原有的牙龈慢性炎症加重，原有牙龈出血情况会加重，使得牙龈肿胀或形成瘤状物的情况。
急性龈乳头炎：发生于牙龈乳头处的急性炎症，可由食物塞嵌、锐物刺伤引起。
药物增生性龈炎：长期服用某些药物，如米诺环素等，可能出现牙龈反应性增生、肥厚。
牙龈炎患者应该去哪个科室就诊？
口腔科、牙周病科。"
口腔溃疡,"口腔溃疡是什么？
口腔溃疡又称口腔黏膜溃疡，俗称「口疮」，是指在舌、唇内侧、牙龈、颊粘膜、腭等口腔黏膜的上皮完整性发生连续性缺损或破坏，因表层坏死脱落而形成了凹陷
[1]
。
一般情况下，口腔溃疡都有明显的疼痛感，最常见的是伴有烧灼感的疼痛。溃疡比较大时，疼痛感更加剧烈，说话、吃饭等会使得溃疡的疼痛感明显增强，以至于很多人常因为疼痛而不愿意说话、吃饭。
口腔溃疡一般会出现在什么时间？
复发性口腔溃疡发病机制尚不明确，发病没有季节性，但也呈现以下特点：女性月经期，劳累、熬夜之后，精神压力较大的时更加容易出现口腔溃疡。
口腔溃疡不痛不痒是怎么回事？
复发性口腔溃疡的发生分为前驱期－溃疡期、愈合期和间歇期
[1]
，并非每一时期都会出现，也并非每一时期都有疼痛感，出现不痛不痒的情况是非常正常的。
而其他类型的溃疡比如梅毒感染造成的口腔黏膜溃疡，常表现为舌头和嘴唇上的溃疡，没有明显的疼痛感。这一类的溃疡，需要配合正规的抗梅毒螺旋体治疗才能彻底治愈。
另外，HIV 感染也可导致这类溃疡病变。
口腔溃疡一般看什么科？
口腔科、口腔黏膜科。
如合并其他科的疾病，或者本身就是其他科室疾病在口腔的表现，如白塞病等，医生会邀请其他科室的医生帮助诊断和治疗。"
唇炎,"唇炎是什么病？
唇炎是口唇部皮肤在各种因素刺激下发生的急性或慢性炎症，可见口唇及其周围皮肤肿胀、干燥、脱皮、瘙痒、疼痛等一系列表现。
可见于多种疾病，如接触性唇炎、光线性唇炎、剥脱性唇炎等。随着生活水平的提高，人们生活压力的增大，目前得唇炎的患者越来越多。"
癌前病变,"癌前病变是什么癌症吗？
癌前病变不等于癌症，它与癌是两种不同的病变，而且此病变也不是癌的前期，而是一些具有癌变潜能的良性病变
[1]
。
比较多见的癌前病变有肝细胞不典型增生、结直肠（大肠）腺瘤样息肉、慢性萎缩性胃炎伴肠上皮化生（胃黏膜上皮细胞被肠型上皮细胞代替）、黏膜白斑、宫颈上皮不典型增生、乳腺纤维囊性增生病等。
癌前病变大多是良性病变，经过规范治疗，一般不会进展成癌症
[1]
。
癌前病变常见吗？
本病常见。例如通过胃镜和胃组织活检进行的胃癌筛查中，常见的胃癌前病变（慢性萎缩性胃炎、上皮内瘤变）的比例高达 30%
[2]
。
常见的癌前病变有哪些？
不同的部位有不同的癌前病变，常见的有：
结直肠（大肠）：腺瘤样息肉、溃疡性结肠炎；
胃：慢性萎缩性胃炎伴肠上皮化生、残胃、胃腺瘤；
食管：上皮不典型增生、巴雷特食管；
肝：肝硬化、肝细胞不典型增生、腺瘤样增生；
黏膜：黏膜白斑（口腔、食管、阴茎、外阴、子宫颈等处）；
宫颈：宫颈上皮不典型增生、慢性子宫颈炎伴子宫颈糜烂；
乳腺：乳腺组织非典型增生、导管内乳头状瘤、乳腺纤维囊性增生病；
皮肤：交界痣，可出现在身体的各个部位。"
智齿冠周炎,"智齿冠周炎是什么意思？
智齿冠周炎是指智齿（第三磨牙）没有完全长出来或是长歪了的时候（医学上称牙齿萌出不全或阻生），牙冠周围软组织（即牙龈）发生的炎症，临床上一般以下颌智齿（第三磨牙）冠周炎多见。
患者自觉最后一个大牙的部位有胀痛不适，当吃东西咀嚼、吞咽、开口活动时疼痛加重，如果病情进一步发展，局部可能出现自发性跳痛，甚至放射至同侧耳部、头部、咽喉部。若炎症进一步侵犯周围咀嚼肌，可能会出现张口受限，甚至出现牙关紧闭。有的患者还可能出现不同程度的畏寒、发热、头痛，全身不适等。
急性期一般以消炎、镇痛、引流等治疗为主。慢性期可以选择龈瓣切除或者拔除智齿，预后一般良好
[1]
。
智齿为什么容易长歪或者长不出来？
因为人类在进化过程中，下颌骨体逐渐缩短，导致第三磨牙智齿冠周炎较为常见，好发于 18～30 岁的年轻人
[2]
。位置偏斜，少数则表现为牙齿完全埋伏在骨内
[1]
。
智齿冠周炎常见吗？
智齿冠周炎较为常见，好发于 18～30 岁的年轻人
[2]
。
智齿冠周炎应该去哪个科室就诊？
一般选择口腔科，或口腔医院的口腔颌面外科，或口腔外科就诊。"
近视,"近视是什么？
近视是屈光不正的一种。屈光不正是指眼睛的屈光作用发生异常。
在调节静止状态下，也就是人眼放松状态下，远处的物体不能在视网膜聚焦，而在视网膜之前形成焦点, 因而导致远方的物体模糊不清。
近视眼是什么？
近视眼也称短视眼，这种眼在休息时，从无限远处来的平行光经过眼球前方中央透明组织角膜、晶状体、玻璃体等这些结构组成的屈光系统折光之后，在视网膜之前集合成焦点，在视网膜上无法形成清楚的像，远视力（在距离五米处正常睁眼向正前方注视时测得的视力）明显降低，但近视力（距近视力表 33 厘米处测得的视力）尚正常
[1]
。
近视是个常见眼病吗？
我国近视眼的人数已经超过 4 亿，患病率近 50％，每 100 人里有 50 人会有近视的问题，位居世界第一
[3]
。
且我国近视人群逐渐扩大，近视眼患者的年龄分布逐渐广泛，呈现低龄化发展，高度近视眼人群占比不断增高
[4]
。
近视有哪些类型？
按照近视度数分类：
轻度近视：≤－3.00 D，也就是平时所说的 300 度以内人群。
中度近视：－3.25 D～－6.00 D，也就是 300～600 度的人群。
＞－6.00 D，也就是 600 度以上的人群。
按照构成近视屈光成份分类：
轴性近视：是由于眼球前后轴过度发展，造成眼球过长所致。眼轴长度超过正常范围（正常眼轴平均值为 24 mm
[5]
）。
屈光性近视：是由于角膜或晶体表面弯曲度过强所致。眼轴长度在正常范围内。
根据近视性质分类：
假性近视，又称调节性近视眼，是由看远时调节未放松所致，是可逆的；
真性近视，是由于屈光成分改变引起的不可逆性近视。
近视与视疲劳不同，那么视疲劳是什么？
视疲劳主要指患者不能持久近距离看东西，出现眼及眼眶周围疼痛、视物模糊、眼睛干涩、流泪等，严重者会出现头痛、恶心、眩晕等症状。它不是独立的疾病，而是由于各种原因引起的一组疲劳综合征
[6]
。
近视有真性与假性近视，假性近视是什么？
严格说，假性近视并不是一种病。
假性近视（又称调节性近视）在定义上是指：当看近处物体时间持续较长时，眼睛睫状肌过度收缩，晶状体突度增加，曲折力增强，看远处物体看不清楚，视力逐渐下降，引起这一改变的主要为睫状肌痉挛，所以如果用药或休息一段时间，视力可以恢复正常。而视力波动的这种现象，则称为假性近视。"
散光,"散光是怎么回事？
散光是比较大的概念，简单说，散光是由于角膜或者晶状体的曲面不是完美的弧形曲线，导致物体的影像进入眼睛在视网膜上形成投影的时候，无法形成清晰的一个像，而导致患者看不清的一种屈光异常
[1]
。
散光很常见，每个人或多或少都存在一定度数的散光，只是有些人散光度数较轻，平时察觉不出来。
一般低度散光，没有视力下降和眼部不适者可以不予以干预；如果存在视力下降或者视疲劳等不适症状，可以通过各种手段予以干预矫正
[2]
。
散光看什么科？
眼科、眼视光学专科。"
结膜炎,"结膜炎是什么？
结膜就是眼睛的白眼球表面以及眼皮内表面薄层结构，结膜炎就是结膜发生的炎症
[1]
。
结膜炎常见吗？
常见。
结膜炎发病率尚未明确，可发生于所有年龄段，其中青少年占多数，春秋季多发
[1]
。
结膜炎的类型有哪些？
按照病因，结膜炎可分为两种
[1]
：
感染性：是由于细菌（如金黄色葡萄球菌、肺炎链球菌等）、病毒（如水痘-带状疱疹病毒、单纯疱疹病毒等）、衣原体等病原微生物感染所致。
非感染性：是由于物理刺激（如风沙、紫外线等）、化学性损伤（如酸、碱、有毒气体等）引起。部分结膜炎也可能是由于过敏等免疫因素或结核、梅毒等全身疾病引起的
[2]
。
根据病程，结膜炎可分为三种
[2]
：
急性结膜炎：潜伏期 10 小时至 2～3 天不等，病情急性进展并伴大量脓性分泌物；
亚急性结膜炎：潜伏期 1～3 天，病程少于三周，春秋季多发；
慢性结膜炎：病情进展缓慢，持续时间长，病程大于三周
[2]
。"
青光眼,"青光眼是什么？
青光眼是眼压超越了眼球内部组织，特别是视神经所能承受的限度，引起特征性的视神经萎缩和视野缺损。
这里所说的眼压即眼球内的压力，正常范围是 10～21 mmHg，「Goldmann 眼压测量法」是眼压测量的「金标准」
[1]
。
眼球的压力是由于眼球内的组织还有液体产生的，对于维持眼睛的正常形态有很重要的作用。但如果长时间压力过大，会压迫眼球和视神经，出现失明等情况。
正常眼压型青光眼是什么？
患者的眼压处于正常值范围（10～21mmHg），还保持双眼对称、昼夜双眼压力差值＜5 mmHg，24 小时眼压波动范围＜8 mmHg。
由于视神经本身存在某种异常，如「供血不足」导致患者出现青光眼的典型症状，另外，可伴有血流动力学危象、心血管疾病、血管痉挛性疾病，如低血压、偏头痛、缺血性血管疾病
[1]
。
这类疾病被定义为正常眼压型青光眼。
青光眼是个常见疾病么？
截至 2020 年，全球约有7960 万青光眼患者。其中近 10% 的患者因此失明。
在我国，青光眼患病率是 0.68%，即每 一万人中会有 68 人患有青光眼，50 岁后患病率可达 4%～7%，即每 一万人中会有 400 ～ 600 人患有青光眼
[2]
。"
白内障,"白内障是什么病？
白内障，就是人眼中原来透亮的折射光线的小透镜——晶状体，因为老化或其他原因而混浊、不再透亮，从而使眼睛无法看清物体的眼病。迄今为止没有特效药物可以治疗，主要治疗为手术治疗或者佩戴眼镜。
白内障常见吗？
白内障很常见，最新 WHO 数据显示，白内障盲占全球盲的 33%，即在全球范围内，每 100 个盲人中约有 33 个由白内障致盲。在中国白内障盲仍居首位。估计至 2024 年，65～74 岁中国人群患病率为 20%～30%。即在 65～74 岁中国人群里，每 100 人就有 20～30 人患有白内障
[1]
。"
干眼,"干眼是什么？
干眼是指各种因素引起的泪液质和量异常或动力学异常，导致泪膜稳定性下降，造成眼部不适、视力损害与眼球表面损害的一种眼科疾病
[1]
。
干眼与干眼症是同一种疾病吗？
中华医学会眼科学分会角膜病学组 2013 年发表了《干眼临床诊疗专家共识（2013年）》，其中将「干眼」和「干眼症」明确统一为「干眼」
[2]
。
干眼在临床上常见吗？
常见。
在 2017 年发表的《第 2 次国际干眼工作小组流行病学报告》中，研究人员提到了全球范围干眼病的患病率约为 5%～50%，这是由于不同文献中诊断标准不太一致，得到的患病率也有很大差异。研究中提到，亚洲人群可能会更容易发生干眼症
[3]
。
而《干眼临床诊疗专家共识（2013年）》也提到，我国干眼病的发病率约为 21%～30%，这相当于，大概每 10 个人中，就可能有 2～3 个人会得干眼病
[4]
。
干眼包括哪几种类型？
2007 年国际干眼病专题研究会将干眼分为两种类型：
泪液生成不足型：由于泪腺功能方面的疾病或者泪腺功能下降引起的泪液不足，导致的干眼
[1]
。
泪液蒸发过强型：由于睑板腺功能出现障碍
[1]
，不能闭眼、眨眼次数减少或泪液蒸发增加等情况，导致的干眼。"
睑腺炎,"睑腺炎是什么？
睑腺炎是指发生在眼睑（也就是眼皮）的脓疖，俗称麦粒肿、针眼，是眼睑睫毛毛囊附近的皮脂腺或眼睑结膜面（内侧）睑板腺的急性化脓性炎症
[1]
。
多因葡萄球菌感染而引起。患者常感觉眼中有异物、眼睑充血、肿胀，伴疼痛、畏光、流泪等症状
[1]
。
本病可以自愈，一般预后良好。普通患者一般脓点破溃后症状明显减轻，两天内逐渐消退，亦有少数患者可自行吸收消退，一般一至两周可痊愈
[1]
。但体弱、免疫力低下的人最好及时就医处理，避免感染扩散，危及生命。
睑腺炎常见吗？
较常见。睑腺炎属于眼睑炎症之一，眼睑常见疾病中就包括眼睑炎症
[1]
，患病率暂无详细数据。
睑腺炎有哪些类型？
根据被感染的腺体的部位不同，睑腺炎可分为外睑腺炎和内睑腺炎
[1]
：
外睑腺炎：为睫毛毛囊及其所属的皮脂腺的或变态汗腺感染、化脓，主要累及眼睑边缘，可在睫毛基底部发现小黄色点状脓疱，周围眼睑皮肤明显红肿。；
内睑腺炎：为眼皮内侧的睑板腺的感染、化脓，翻转眼睑会发现结膜面红肿，感染的睑板腺处有小的隆起或黄色区域。
睑腺炎应该看什么科？
眼科。"
过敏性结膜炎,"过敏性结膜炎是什么病
过敏性结膜炎是最常见的眼部过敏性疾病，与其他过敏性疾病有共同的发病机制，常伴随过敏性鼻炎，两种病一起出现时称为过敏性鼻结膜炎。主要表现为眼睛发痒、流泪、泛红。多采用局部抗组胺药治疗，尽量不用糖皮质激素类药物。
过敏性结膜炎患病人群多么？
比较多，影响大约 25% 的人群。
过敏性结膜炎常见类型有哪些？
根据发病的时间，过敏性结膜炎分为急性过敏性结膜炎、季节性过敏性结膜炎和常年性过敏性结膜炎三种常见类型：
急性过敏性结膜炎是环境暴露(往往为已知的变应原，如猫皮屑)引起的一种突发性超敏反应。可迅速出现症状，停止接触变应原后，症状一般在 24 小时内缓解。因此，急性过敏性结膜炎的特征为剧烈发作的瘙痒、充血、流泪、结膜水肿和眼睑水肿。
季节性过敏性结膜炎：占全部眼部过敏病例的 80%，比常年性过敏性结膜炎更引人关注，代表性的过敏物为树和杂草的花粉。
常年性过敏性结膜炎：全年会受到如屋尘螨、动物毛发皮屑和霉菌等气源性过敏原的影响。
过敏性结膜炎要去看哪个科？
先去眼科就诊，排除其他疾病，明确是否是过敏性结膜炎。如果是，再就诊于皮肤科行过敏原检测。"
贫血,"贫血是什么？
贫血是指人体外周血中红细胞或者血红蛋白不足，不能对组织器官充分供氧的一类临床综合征。可引起头痛、头晕、失眠、心慌、皮肤黏膜苍白等症状
[1]
。
贫血的原因主要包括铁缺乏，叶酸缺乏，维生素 B12  缺乏，妊娠，病毒感染，长期接触 X 射线、镭等。此外，部分贫血也可由遗传因素导致
[1]
。
由于贫血的病因较为多样，因此，本病没有统一的治疗方法。一般需根据病因给予治疗，经治疗后多可缓解
[1]
。
贫血常见吗？
常见。但具体发病率尚无最新权威数据。根据 2010～2012 年中国居民营养与健康状况监测，中国城市居民（不包括孕妇）贫血患病率为 9.7 %
[2]
，即每一千位城市居民中，就有 97 人存在贫血。
贫血会遗传吗？
不一定。
由营养不良导致的贫血，如缺铁性贫血、巨幼细胞贫血通常不会遗传。但某些类型的贫血具有家族遗传性，如地中海贫血（是溶血性贫血的一种）等
[1]
。"
白血病,"白血病是什么？
白血病是起源于造血干细胞的恶性克隆性疾病
[1]
。其特征是「不正常的白细胞」，即白血病细胞，这种具有增殖和生存优势的白血病细胞，在骨髓内无限制增生和积聚，逐渐取代了正常的骨髓造血，使红细胞、白细胞、血小板等无法正常的产生和发挥作用，从而引起一系列的症状，比如发热、感染、出血、贫血等，会导致多器官功能障碍，甚至死亡。
白血病患者除了经受身体上的痛苦，心理上也可能产生较多的负面情绪，但无论如何，请不要对治疗失去信心。假如你的家人朋友患了白血病，也请给予他们足够的情感支持，鼓励他们积极接受治疗。
白血病可分为哪些类型？
急性白血病：主要由未成熟、分化差的白血病细胞构成。急性白血病又可分为急性淋巴细胞性白血病（ALL）和急性髓细胞性白血病（AML）两大类
[2]
。
慢性白血病：慢性白血病细胞比急性白血病成熟、分化好。慢性白血病又可分为慢性淋巴细胞性白血病（CLL）和慢性髓细胞性白血病（CML）
[2]
。
白血病常见吗？
较为少见。我国白血病的总体发病率较低，10 万人中约 3～4 人患有白血病
[2]
。
白血病看什么科？
血液科、小儿血液科、儿科。"
多发性骨髓瘤,"多发性骨髓瘤是什么?
多发性骨髓瘤是一种发生于浆细胞的恶性肿瘤。正常情况下，浆细胞可产生抗体，使机体免受各种病原体、创伤等不利因素的伤害。
浆细胞在骨髓中生成，当发生多发性骨髓瘤时，骨髓会生成过量的浆细胞，而无法生成人体所需的正常血细胞。从而产生骨痛、易骨折、虚弱、疲倦、容易生病感染、肢体麻木无力等一系列症状。
多发性骨髓瘤是一种恶性疾病。但随着医疗技术的进步，多发性骨髓瘤患者的生存时间已有明显提升。
多发性骨髓瘤的患者多吗？
多发性骨髓瘤不是少见病，是最常见的几种恶性血液肿瘤之一。
多发性骨髓瘤与骨髓瘤、骨癌是否为同一类疾病？
骨髓瘤通常是多发性骨髓瘤的俗称，是同一种疾病。
骨癌是发生于骨骼系统的恶性肿瘤。而多发性骨髓瘤是发生于浆细胞的一类恶性疾病，属于造血系统或淋巴系统恶性肿瘤。因此两者不属于同类疾病。
多发性骨髓瘤与白血病是否为同一类疾病？
多发性骨髓瘤是发生于浆细胞的一类恶性疾病，目前 WHO 将其归为 B 细胞淋巴瘤的一种，因此两者同属血液系统疾病，发病后都会有感染、骨痛、贫血、出血等症状，但均不具有特异性。
而且两者的发病年龄、诊断方法、治疗原则、预后都不相同，因此两者不是一类疾病，是属于相同系统的不同疾病。"
淋巴瘤,"淋巴细胞是什么？
淋巴细胞是白细胞的一种，存在于淋巴系统（如淋巴结）和造血器官（如骨髓、肝脏）中。淋巴细胞具有免疫功能，可以抵挡、杀灭或消除体内的病原菌、肿瘤细胞等。淋巴细胞分为许多亚型，其中主要是 T 淋巴细胞、B 淋巴细胞和 NK 细胞。
T 淋巴细胞能够直接攻击侵入人体的微生物和体内的肿瘤细胞等（即医学上所说的「细胞免疫」）。
B 淋巴细胞在受到病原体等刺激后，会增殖分化为浆细胞并合成抗体，抗体与「入侵者」结合并将其歼灭（即医学上所说的「体液免疫」）。
NK 细胞，即自然杀伤细胞，也是机体重要的免疫细胞之一，在抗肿瘤、抗感染、免疫调节中发挥着重要的作用。
淋巴结是什么？
淋巴结是淋巴系统的组成部分，分散在全身各处。淋巴结是淋巴细胞聚集的场所。淋巴结主要有以下三个方面的功能：
生成淋巴细胞。
过滤淋巴液：主要由淋巴结内巨噬细胞的吞噬来完成，淋巴液中衰老的细胞及颗粒物质都可被吞噬。例如：人体吸入的尘埃颗粒，通过呼吸道进入支气管淋巴结，被巨噬细胞吞噬。
免疫作用：通过淋巴结内的各种细胞本身具有的杀伤作用及其产生的抗体，来防御、杀灭和消除体内的病原菌、肿瘤细胞等。
淋巴瘤是什么？
淋巴瘤（lymphoma），又叫「淋巴癌」，是起源于淋巴系统（包括淋巴结和淋巴组织）的恶性肿瘤。一般来说，淋巴瘤均为恶性肿瘤，其原因可能为淋巴细胞异变，出现不受控制的增殖，并且聚集到身体的不同部位（特别是淋巴结）而导致
[1]
。
淋巴瘤病人的首发症状常为无痛性、进行性淋巴结肿大，可为多发或单发。但淋巴结以外的任何部位如脾脏、胃肠道等也可以成为淋巴瘤首发的部位
[1]
。
淋巴瘤的治疗以化疗为主，还包括放疗、造血干细胞移植、生物靶向治疗、手术治疗等多种治疗方式。随着医学的发展，淋巴瘤病人的生存期已有明显延长，相当一部分病人已能得到根治
[2]
。
淋巴瘤有哪些类型？
淋巴瘤根据组织病理学可分为霍奇金淋巴瘤和非霍奇金淋巴瘤，后者又根据发生异变的淋巴细胞不同而分为不同的类型，如 B 细胞淋巴瘤、T 细胞淋巴瘤、自然杀伤细胞淋巴瘤（即 NK 细胞淋巴瘤）等
[1]
。
霍奇金淋巴瘤是什么？
霍奇金淋巴瘤是淋巴瘤的一种类型，主要原发于淋巴结，特点是淋巴结进行性肿大
[1]
。
霍奇金淋巴瘤的诊断，是以组织细胞学检测中见到双核或多核的 RS 细胞为主要依据。早期的霍奇金淋巴瘤可通过放、化疗治愈
[1]
。
非霍奇金淋巴瘤是什么？
非霍奇金淋巴瘤是淋巴瘤的另一种类型，凡不属于霍奇金淋巴瘤者，均属于非霍奇金淋巴瘤。
非霍奇金淋巴瘤一般无特征性 RS 细胞，发生的部位可以是淋巴结，也可以是淋巴结以外的组织器官。病人往往为多病灶起病，受累淋巴结多为双侧和多发，甚至遍及全身
[1]
。
其亚型及临床表现变化多端，因而治疗效果和预后也不尽相同
[2]
。
淋巴瘤常见吗？
常见。根据 GLOBOCAN 2020 数据显示，2020 年全球新发霍奇金淋巴瘤 83087 例，新发非霍奇金淋巴瘤 544352 例
[2]
。"
血小板减少症,"血小板减少症是什么？
血小板减少症是指由各种原因引起的血液中血小板减少，不管是否有出血、皮肤瘀点、瘀斑等相关症状。
在血常规检测结果中，血小板低于 100 × 10
9
/L 即为血小板减少。
血小板减少症和血小板减少是什么关系？
血小板减少并不是一种独立的疾病，而是血小板减少症的主要表现，血小板减少除了发生于血小板减少症之外，还可见于其他很多疾病，如再生障碍性贫血、白血病、系统性红斑狼疮等。
血小板减少症最主要的表现就是血小板减少。
血小板减少症和特发性血小板减少性紫癜是什么关系？
血小板减少症是一类疾病的总称。
当已明确血小板减少是由于各种免疫因素引起的时候，血小板减少症可以称为免疫性血小板减少症（ITP）。
特发性血小板减少性紫癜是以前使用的名词，2007 年 ITP 国际工作组将其更名为「原发性免疫性血小板减少症」，仍保留 ITP 的英文缩写。
原发性免疫性血小板减少症，是指由抗血小板抗原的自身抗体导致的免疫性血小板减少症，有别于由具体疾病或药物导致的免疫性血小板减少症。
原发性免疫性血小板减少症、免疫性血小板减少症的英文缩写都是 ITP，但通常所说的 ITP 是指原发性免疫性血小板减少症。"
低钾血症,"钾有什么作用？
钾是机体重要的矿物质之一，钾有很多重要的生理功能：
参与、维持细胞的正常代谢；
维持细胞内液的渗透压和酸碱平衡；
维持神经、肌肉组织的兴奋性；
维持心肌正常功能等。
钾过高或过低均会对机体造成严重影响，维持钾代谢平衡非常重要。
钾在体内是如何分布的？
正常成年人体内约含 150 克钾，其中 98% 储存在细胞内，2% 分布在细胞外。
医院通常测定的即为细胞外液中钾的浓度（测定不含红细胞的血液成分的钾浓度，细胞内的则高得多）。
人体内钾的来源有哪些？
人体内的钾主要来源于食物，食物中的钾 90% 在短时间内通过肠道吸收入血，因此长期不能进食的患者易出现低钾血症。
体内的钾是如何排出体外的？
正常情况下人体内的钾主要通过汗液、尿液、消化道排泄，人的排泄系统对钾元素的排泄有「多吃多排、少吃少排、不吃也排」的原则，因此夏天大量出汗、多尿或腹泻而不及时补充钾盐，易出现低钾血症。
低钾血症是什么病？
正常血清钾浓度一般为 3.5 mmol/L～5.5 mmol/L。
低钾血症指血清钾小于 3.5 mmol/L 的一种不健康的状态，常常继发于其他疾病。低钾血症可引起一系列不良后果，如肌肉无力、瘫痪、心率失常、甚至猝死。
通常以治疗原发病为主，必要时补充钾。原发病不除，低钾血症就容易反复发作。"
缺铁性贫血,"缺铁性贫血是什么？
缺铁性贫血，即因缺铁而引起的贫血，是贫血最常见的种类。
贫血，指人体外周血中红细胞或者血红蛋白浓度低于正常值时的状态。红细胞的主要成分是血红蛋白，红细胞正是通过血红蛋白完成运输氧的工作。
血红蛋白低的时候，身体可能无法获得充足的氧供应。而血红蛋白是一种含铁蛋白质，需要铁进行合成。当铁不足以满足需求时，血红蛋白、红细胞的生成就会受到影响。
哪些人群容易发生缺铁性贫血？
缺铁性贫血是最多见的贫血，普遍存在于世界各国、各民族中，发生于各年龄组。在育龄妇女和婴幼儿中发病很高。
缺铁性贫血为什么会发生？
当铁不足以满足需求时，会发生缺铁性贫血。具体原因主要由三大类：
需铁量增多而摄入不足
：多见于婴幼儿、青少年、妊娠和哺乳期妇女。需求量大了，摄入又相对不足，就容易发生缺铁性贫血。
铁吸收障碍
：常见于胃大部切除术后或长期腹泻、炎症性肠病的患者。
铁丢失过多
：主要见于长期存在慢性失血问题的患者，也可出现在短时间大量失血的患者中。
缺铁就会发生缺铁性贫血吗？
不是的，从缺铁到缺铁性贫血，中间有个过程。一般情况下，人体内铁的供求失衡有三个程度：
铁耗尽
：铁在人体内如同「战略物资」一样被储存，称为「铁储备」。成年男性的铁储备大约为每千克体重 10 mg，主要存在于肝、脾和骨髓，成年⼥性的铁储备相对男性少。「铁耗尽」即铁储备耗尽，但人体仍有部分铁在红细胞的代谢中流通，因此尚能维持正常的血红蛋白合成。
红细胞内铁缺乏
：当铁进一步损耗而得不到充分补充，生成的红细胞能分配到的铁就少了，红细胞内铁缺乏，表现为平均红细胞容积、网织红细胞血红蛋白含量降低。
缺铁性贫血
：缺铁性贫血是铁缺乏的最终阶段，此时血红蛋白浓度降低。"
